Kode Barcode,Nama Barang,Kategori,Satuan,Stok Awal,Harga Modal,Harga Jual Retail,Harga Jual Member,Supplier
8992388111223,Indomie Mi Goreng Spesial 85g,Makanan & Minuman,Pcs,100,2800,3500,3200,PT Sumber Berkah Retail
8991234567890,Teh Pucuk Harum 350ml,Makanan & Minuman,Botol,48,2600,3500,3300,PT Sumber Berkah Retail
8993005123456,Kopi Kapal Api Spesial Mix 24g (Isi 10),Makanan & Minuman,Pak,30,11500,14000,13500,CV Maju Jaya Abadi
8991100223344,Sabun Cuci Piring Sunlight Jeruk Nipis 750ml,Kebutuhan Rumah Tangga,Pouch,24,13500,16500,16000,PT Sumber Berkah Retail
8998866554433,Minyak Goreng Bimoli Klasik Pouch 2 Liter,Sembako,Pcs,18,32000,37000,36000,CV Maju Jaya Abadi
8999988776655,Beras Pandan Wangi Super 5kg,Sembako,Karung,10,68000,75000,73000,
8994455667788,Minuman Isotonik Pocari Sweat 500ml,Makanan & Minuman,Botol,36,6000,8000,7500,
8997788990011,Deterjen Bubuk Rinso Anti Noda 770g,Kebutuhan Rumah Tangga,Bungkus,20,19000,23000,22000,
8995544332211,Pasta Gigi Pepsodent Pencegah Gigi Berlubang 190g,Personal Care,Tub,25,12500,15500,15000,
,Telur Ayam Negeri Fresh Curah 1kg (Auto Barcode),Sembako,Kg,50,26000,29000,28000,
